Sample,patientID,SOX9,FOXM1
BRCA,TCGA-AN-A0FZ-01A,204.973,16.685
BRCA,TCGA-AC-A3TM-01A,183.605,8.144
BRCA,TCGA-AC-A8OR-01A,153.104,9.744
BRCA,TCGA-EW-A6S9-01A,217.67,32.245
BRCA,TCGA-AR-A250-01A,134.582,29.952
BRCA,TCGA-E2-A10A-01A,128.574,24.593
BRCA,TCGA-AN-A03X-01A,147.689,11.113
BRCA,TCGA-A2-A0YI-01A,103.752,4.642
BRCA,TCGA-E9-A1N9-01A,352.383,90.054
BRCA,TCGA-EW-A1P1-01A,132.017,9.83
BRCA,TCGA-D8-A142-01A,244.656,22.946
BRCA,TCGA-AO-A1KS-01A,326.303,59.913
BRCA,TCGA-A8-A096-01A,142.704,24.635
BRCA,TCGA-A2-A4S1-01A,65.101,4.993
BRCA,TCGA-BH-A1EO-01A,261.116,12.069
BRCA,TCGA-S3-AA12-01A,162.218,21.686
BRCA,TCGA-AC-A3W7-01A,161.252,6.566
BRCA,TCGA-AO-A0J5-01A,218.03,24.782
BRCA,TCGA-E9-A228-01A,172.658,41.942
BRCA,TCGA-A7-A6VV-01A,204.006,46.767
BRCA,TCGA-BH-A0DH-01A,525.11,8.202
BRCA,TCGA-AN-A0FX-01A,168.704,48.624
BRCA,TCGA-AO-A12H-01A,117.393,12.707
BRCA,TCGA-BH-A1F8-01A,329.399,35.82
BRCA,TCGA-D8-A1JE-01A,136.728,15.422
BRCA,TCGA-C8-A3M7-01A,86.561,12.734
BRCA,TCGA-B6-A0RE-01A,231.12,81.593
BRCA,TCGA-E2-A10E-01A,202.367,21.551
BRCA,TCGA-A2-A1FZ-01A,163.616,13.332
BRCA,TCGA-LD-A74U-01A,168.757,11.692
BRCA,TCGA-AC-A2QI-01A,139.532,2.962
BRCA,TCGA-BH-A18J-01A,139.368,22.387
BRCA,TCGA-A1-A0SJ-01A,263.259,31.328
BRCA,TCGA-BH-A0DQ-01A,201.017,8.058
BRCA,TCGA-D8-A1JA-01A,219.379,19.842
BRCA,TCGA-BH-A1EU-01A,207.233,7.863
BRCA,TCGA-A2-A0YE-01A,221.935,128.978
BRCA,TCGA-D8-A1X6-01A,238.429,15.401
BRCA,TCGA-E9-A5UP-01A,155.56,4.124
BRCA,TCGA-LD-A66U-01A,163.848,6.126
BRCA,TCGA-B6-A0RN-01A,211.731,3.444
BRCA,TCGA-BH-A18I-01A,145.675,20.918
BRCA,TCGA-AR-A0TR-01A,123.296,4.6
BRCA,TCGA-AR-A0TW-01A,361.252,15.012
BRCA,TCGA-E2-A1IN-01A,515.177,9.819
BRCA,TCGA-D8-A73W-01A,98.47,14.601
BRCA,TCGA-AR-A1AO-01A,158.117,19.052
BRCA,TCGA-A2-A0EV-01A,241.082,10.217
BRCA,TCGA-AN-A0AJ-01A,291.607,46.485
BRCA,TCGA-EW-A423-01A,191.255,8.644
BRCA,TCGA-EW-A6SC-01A,239.201,16.543
BRCA,TCGA-A7-A6VX-01A,297.676,41.334
BRCA,TCGA-E9-A1RI-01A,170.337,6.642
BRCA,TCGA-D8-A1XS-01A,195.81,29.464
BRCA,TCGA-OL-A5D6-01A,40.569,8.896
BRCA,TCGA-S3-AA15-01A,163.074,51.272
BRCA,TCGA-D8-A1JU-01A,163.566,1.653
BRCA,TCGA-A2-A0T3-01A,124.539,60.231
BRCA,TCGA-BH-A0E6-01A,129.144,14.463
BRCA,TCGA-AN-A0XV-01A,211.255,18.601
BRCA,TCGA-C8-A131-01A,140.481,22.078
BRCA,TCGA-AN-A03Y-01A,241.546,35.357
BRCA,TCGA-AR-A24Z-01A,146.598,58.228
BRCA,TCGA-Z7-A8R5-01A,130.779,2.044
BRCA,TCGA-A7-A0DC-01B,137.237,20.784
BRCA,TCGA-E9-A3X8-01A,157.045,0.914
BRCA,TCGA-C8-A8HQ-01A,164.491,43.295
BRCA,TCGA-A2-A1FX-01A,205.758,38.173
BRCA,TCGA-B6-A402-01A,233.691,40.702
BRCA,TCGA-AC-A5EH-01A,84.157,13.916
BRCA,TCGA-OL-A97C-01A,96.117,20.667
BRCA,TCGA-LL-A73Z-01A,139.052,9.717
BRCA,TCGA-OL-A66P-01A,78.951,6.673
BRCA,TCGA-AR-A2LJ-01A,167.266,7.049
BRCA,TCGA-EW-A1PA-01A,190.501,58.069
BRCA,TCGA-A7-A56D-01A,93.898,3.076
BRCA,TCGA-E9-A1RE-01A,288.017,21.159
BRCA,TCGA-BH-A0DL-01A,73.529,60.519
BRCA,TCGA-AR-A1AY-01A,241.889,129.248
BRCA,TCGA-BH-A0DX-01A,110.191,14.657
BRCA,TCGA-A7-A4SD-01A,268.075,91.687
BRCA,TCGA-A2-A0EM-01A,122.625,8.9
BRCA,TCGA-JL-A3YW-01A,170.374,15.156
BRCA,TCGA-OL-A5DA-01A,155.618,9.469
BRCA,TCGA-EW-A1P0-01A,249.124,21.409
BRCA,TCGA-B6-A0RQ-01A,129.027,2.104
BRCA,TCGA-5L-AAT1-01A,212.83,3.487
BRCA,TCGA-AN-A0FW-01A,126.234,31.331
BRCA,TCGA-BH-A1ES-01A,231.851,26.464
BRCA,TCGA-BH-A0BR-01A,108.713,25.034
BRCA,TCGA-A2-A1FW-01A,170.353,50.251
BRCA,TCGA-BH-A0BO-01A,143.055,3.94
BRCA,TCGA-E2-A14Y-01A,178.277,56.89
BRCA,TCGA-A7-A4SC-01A,142.452,17.205
BRCA,TCGA-A7-A13D-01B,230.438,31.482
BRCA,TCGA-AO-A03O-01A,566.991,55.698
BRCA,TCGA-Z7-A8R6-01A,205.367,54.064
BRCA,TCGA-A8-A07W-01A,238.536,51.346
BRCA,TCGA-D8-A140-01A,166.112,23.273
BRCA,TCGA-D8-A1XA-01A,175.339,21.497
BRCA,TCGA-A2-A0CY-01A,131.485,13.008
BRCA,TCGA-AR-A24M-01A,111.667,11.595
BRCA,TCGA-A2-A3XV-01A,33.598,3.458
BRCA,TCGA-GM-A2DA-01A,315.207,9.853
BRCA,TCGA-A2-A0CR-01A,164.273,4.25
BRCA,TCGA-AC-A62Y-01A,114.174,5.818
BRCA,TCGA-BH-A42V-01A,155.634,5.555
BRCA,TCGA-C8-A8HR-01A,209.288,28.028
BRCA,TCGA-D8-A1XK-01A,309.792,163.336
BRCA,TCGA-B6-A0IN-01A,191.685,11.742
BRCA,TCGA-A2-A0T6-01A,213.242,3.532
BRCA,TCGA-E9-A1NE-01A,209.075,33.113
BRCA,TCGA-AR-A5QP-01A,179.083,10.924
BRCA,TCGA-A8-A07S-01A,102.804,35.404
BRCA,TCGA-A8-A08J-01A,227.155,32.332
BRCA,TCGA-C8-A12O-01A,725.202,41.216
BRCA,TCGA-E9-A248-01A,131.646,41.431
BRCA,TCGA-EW-A1OV-01A,138.132,28.966
BRCA,TCGA-A2-A04V-01A,199.229,19.192
BRCA,TCGA-BH-A1FL-01A,272.19,23.555
BRCA,TCGA-A7-A0CH-01A,131.983,8.607
BRCA,TCGA-E2-A153-01A,199.964,5.435
BRCA,TCGA-AR-A2LE-01A,188.244,7.56
BRCA,TCGA-AC-A3W5-01A,120.144,20.424
BRCA,TCGA-WT-AB44-01A,149.528,1.123
BRCA,TCGA-S3-A6ZH-01A,195.569,31.058
BRCA,TCGA-C8-A12Y-01A,221.391,12.47
BRCA,TCGA-BH-A8FY-01A,112.412,8.532
BRCA,TCGA-3C-AAAU-01A,215.265,41.497
BRCA,TCGA-D8-A1XU-01A,149.323,7.532
BRCA,TCGA-A2-A0EM-01A,122.625,8.9
BRCA,TCGA-B6-A0IH-01A,180.332,2.404
BRCA,TCGA-C8-A278-01A,126.949,21.251
BRCA,TCGA-GM-A2DH-01A,391.907,93.782
BRCA,TCGA-BH-A0EA-01A,152.639,3.424
BRCA,TCGA-GM-A2DI-01A,268.07,6.367
BRCA,TCGA-C8-A27B-01A,220.89,62.804
BRCA,TCGA-AO-A0JJ-01A,110.451,15.726
BRCA,TCGA-EW-A1IX-01A,158.178,6.065
BRCA,TCGA-AN-A0FN-01A,112.516,9.73
BRCA,TCGA-A2-A4S0-01A,90.023,6.742
BRCA,TCGA-AO-A0J8-01A,149.899,10.162
BRCA,TCGA-C8-A132-01A,385.578,20.62
BRCA,TCGA-A8-A09C-01A,158.908,28.056
BRCA,TCGA-3C-AALJ-01A,129.315,28.592
BRCA,TCGA-B6-A1KC-01B,288.755,34.792
BRCA,TCGA-A2-A4RX-01A,105.405,16.806
BRCA,TCGA-A7-A0CJ-01A,168.302,39.017
BRCA,TCGA-B6-A0RL-01A,255.751,49.274
BRCA,TCGA-AR-A1AQ-01A,273.553,86.633
BRCA,TCGA-BH-A0B2-01A,353.976,8.983
BRCA,TCGA-E2-A15E-01A,271.694,16.628
BRCA,TCGA-D8-A1JT-01A,315.466,18.157
BRCA,TCGA-E9-A1RA-01A,301.063,10.821
BRCA,TCGA-OL-A66O-01A,120.095,17.881
BRCA,TCGA-PE-A5DC-01A,234.043,34.281
BRCA,TCGA-BH-A0HI-01A,109.376,9.117
BRCA,TCGA-AN-A0AS-01A,292.125,13.678
BRCA,TCGA-EW-A1OX-01A,108.977,19.518
BRCA,TCGA-A7-A26J-01A,182.988,43.447
BRCA,TCGA-A1-A0SK-01A,271.989,341.738
BRCA,TCGA-EW-A2FW-01A,100.482,72.023
BRCA,TCGA-BH-A18T-01A,290.553,175.679
BRCA,TCGA-D8-A147-01A,106.623,82.743
BRCA,TCGA-A8-A09G-01A,171.76,33.774
BRCA,TCGA-BH-A18F-01A,195.162,38.707
BRCA,TCGA-AC-A6IW-01A,157.423,60.523
BRCA,TCGA-AR-A1AJ-01A,244.403,49.812
BRCA,TCGA-C8-A12Z-01A,130.642,35.794
BRCA,TCGA-BH-A1FN-01A,295.841,43.036
BRCA,TCGA-BH-A0E9-01B,200.178,10.326
BRCA,TCGA-A2-A259-01A,163.687,5.072
BRCA,TCGA-B6-A0RH-01A,197.871,7.504
BRCA,TCGA-BH-A0DS-01A,184.143,4.246
BRCA,TCGA-D8-A27W-01A,106.43,50.93
BRCA,TCGA-OL-A66J-01A,156.85,6.167
BRCA,TCGA-B6-A0X4-01A,66.597,5.826
BRCA,TCGA-E2-A576-01A,326.362,9.171
BRCA,TCGA-A7-A13E-01A,113.271,29.473
BRCA,TCGA-AN-A04D-01A,247.88,73.982
BRCA,TCGA-A7-A26F-01B,146.212,24.094
BRCA,TCGA-A2-A1G6-01A,140.448,1.642
BRCA,TCGA-E2-A1LL-01A,491.517,40.785
BRCA,TCGA-A8-A084-01A,71.554,33.156
BRCA,TCGA-AO-A12C-01A,221.534,9.183
BRCA,TCGA-BH-A0HQ-01A,136.499,8.861
BRCA,TCGA-AC-A2B8-01A,126.967,10.415
BRCA,TCGA-BH-A0DI-01A,155.797,11.158
BRCA,TCGA-MS-A51U-01A,129.267,8.142
BRCA,TCGA-AC-A2FO-01A,287.179,5.884
BRCA,TCGA-EW-A424-01A,196.582,16.56
BRCA,TCGA-E2-A15P-01A,225.974,6.174
BRCA,TCGA-A7-A3J1-01A,142.191,12.875
BRCA,TCGA-A8-A07L-01A,180.467,149.913
BRCA,TCGA-BH-A0HY-01A,150.537,29.616
BRCA,TCGA-OL-A5D8-01A,246.405,17.094
BRCA,TCGA-BH-A202-01A,128.279,33.547
BRCA,TCGA-BH-A209-01A,375.343,71.058
BRCA,TCGA-A2-A25C-01A,318.837,20.23
BRCA,TCGA-BH-A28O-01A,81.887,3.511
BRCA,TCGA-AR-A1AL-01A,134.818,13.828
BRCA,TCGA-BH-A1FH-01A,126.637,5.259
BRCA,TCGA-A8-A08I-01A,211.648,43.335
BRCA,TCGA-AO-A03T-01A,541.042,13.265
BRCA,TCGA-E2-A1IE-01A,242.286,40.554
BRCA,TCGA-AO-A03M-01B,272.509,39.085
BRCA,TCGA-E9-A1NH-01A,110.643,5.332
BRCA,TCGA-E9-A1N5-01A,162.579,35.424
BRCA,TCGA-BH-A0AU-01A,324.296,49.642
BRCA,TCGA-A8-A09M-01A,303.007,22.47
BRCA,TCGA-B6-A409-01A,412.49,13.615
BRCA,TCGA-D8-A27K-01A,125.239,10.263
BRCA,TCGA-E9-A1RB-01A,276.209,67.111
BRCA,TCGA-LD-A7W5-01A,188.151,14.549
BRCA,TCGA-JL-A3YX-01A,369.848,23.298
BRCA,TCGA-E2-A1LE-01A,108.366,23.76
BRCA,TCGA-AO-A0JG-01A,150.775,7.334
BRCA,TCGA-GM-A3XG-01A,144.125,2.142
BRCA,TCGA-B6-A0WW-01A,282.55,33.362
BRCA,TCGA-AR-A0U0-01A,152.394,38.585
BRCA,TCGA-AN-A0XR-01A,235.529,37.906
BRCA,TCGA-AC-A2QH-01A,43.644,11.884
BRCA,TCGA-D8-A1XG-01A,68.274,14.399
BRCA,TCGA-A8-A07O-01A,232.381,91.101
BRCA,TCGA-E2-A14P-01A,157.851,65.463
BRCA,TCGA-C8-A12V-01A,122.985,29.996
BRCA,TCGA-3C-AALK-01A,242.468,13.295
BRCA,TCGA-E9-A3QA-01A,259.937,97.221
BRCA,TCGA-D8-A1X5-01A,315.636,7.567
BRCA,TCGA-D8-A1XO-01A,128.618,8.793
BRCA,TCGA-EW-A2FS-01A,188.578,11.665
BRCA,TCGA-AR-A24P-01A,154.363,24.931
BRCA,TCGA-BH-A0HB-01A,325.343,14.019
BRCA,TCGA-B6-A0WS-01A,229.153,20.48
BRCA,TCGA-AO-A0J7-01A,202.05,34.701
BRCA,TCGA-E2-A15S-01A,119.307,106.01
BRCA,TCGA-AO-A1KT-01A,202.764,38.15
BRCA,TCGA-E9-A22G-01A,247.416,147.993
BRCA,TCGA-AQ-A1H3-01A,129.03,19.262
BRCA,TCGA-A7-A5ZX-01A,162.246,2.299
BRCA,TCGA-E2-A15H-01A,181.327,39.044
BRCA,TCGA-BH-A0AV-01A,208.269,106.65
BRCA,TCGA-AN-A0FD-01A,204.069,9.405
BRCA,TCGA-EW-A1PE-01A,139.218,15.589
BRCA,TCGA-S3-AA11-01A,132.987,19.973
BRCA,TCGA-GM-A3XN-01A,150.296,10.594
BRCA,TCGA-B6-A0I2-01A,140.027,71.909
BRCA,TCGA-E9-A1N6-01A,205.767,40.633
BRCA,TCGA-GM-A2D9-01A,111.578,5.243
BRCA,TCGA-OK-A5Q2-01A,98.877,24.787
BRCA,TCGA-AC-A3OD-01A,139.284,16.079
BRCA,TCGA-AR-A256-01A,413.309,103.378
BRCA,TCGA-BH-A0E7-01A,320.959,13.726
BRCA,TCGA-E2-A572-01A,105.481,1.818
BRCA,TCGA-D8-A27H-01A,264.066,44.226
BRCA,TCGA-B6-A0RU-01A,208.576,63.234
BRCA,TCGA-E2-A573-01A,322.504,49.203
BRCA,TCGA-A8-A09T-01A,236.8,12.429
BRCA,TCGA-A8-A093-01A,181.616,13.315
BRCA,TCGA-E9-A1N3-01A,109.791,19.934
BRCA,TCGA-D8-A1Y0-01A,216.137,52.398
BRCA,TCGA-A8-A097-01A,156.903,20.172
BRCA,TCGA-E9-A1QZ-01A,161.812,25.984
BRCA,TCGA-A8-A09X-01A,145.704,66.8
BRCA,TCGA-E2-A14S-01A,208.68,29.032
BRCA,TCGA-LL-A5YL-01A,87.285,5.908
BRCA,TCGA-BH-A0B4-01A,230.011,20.32
BRCA,TCGA-B6-A0IB-01A,188.468,36.299
BRCA,TCGA-AQ-A1H2-01A,170.516,6.682
BRCA,TCGA-A8-A08B-01A,228.708,24.858
BRCA,TCGA-C8-A1HI-01A,217.206,7.026
BRCA,TCGA-A8-A09N-01A,321.052,54.812
BRCA,TCGA-C8-A134-01A,269.108,74.435
BRCA,TCGA-AO-A0JD-01A,345.241,76.387
BRCA,TCGA-A7-A3RF-01A,131.717,15.426
BRCA,TCGA-S3-AA14-01A,125.958,13.53
BRCA,TCGA-E2-A156-01A,146.726,12.473
BRCA,TCGA-BH-A1FC-01A,297.966,143.472
BRCA,TCGA-B6-A40C-01A,175.409,29.837
BRCA,TCGA-E2-A155-01A,348.635,27.454
BRCA,TCGA-B6-A0X0-01A,87.558,13.044
BRCA,TCGA-AC-A3BB-01A,122.262,5.744
BRCA,TCGA-AO-A12B-01A,53.572,10.432
BRCA,TCGA-A7-A26E-01A,202.081,1.148
BRCA,TCGA-A8-A09Z-01A,250.55,20.517
BRCA,TCGA-A2-A25F-01A,128.559,48.72
BRCA,TCGA-AN-A04C-01A,297.353,27.636
BRCA,TCGA-BH-A0C3-01A,123.373,23.146
BRCA,TCGA-LL-A8F5-01A,244.748,49.755
BRCA,TCGA-B6-A0RV-01A,245.042,10.018
BRCA,TCGA-E9-A1RC-01A,310.102,27.511
BRCA,TCGA-BH-A0H3-01A,157.834,5.84
BRCA,TCGA-C8-A12W-01A,241.916,92.295
BRCA,TCGA-EW-A2FR-01A,79.58,14.675
BRCA,TCGA-AN-A0XN-01A,174.393,14.293
BRCA,TCGA-BH-A6R8-01A,260.706,7.974
BRCA,TCGA-E9-A245-01A,108.906,15.395
BRCA,TCGA-AN-A0XU-01A,189.221,103.318
BRCA,TCGA-D8-A1XT-01A,179.632,30.493
BRCA,TCGA-A8-A08F-01A,324.452,54.083
BRCA,TCGA-A2-A0ST-01A,152.485,52.451
BRCA,TCGA-AR-A251-01A,271.977,47.652
BRCA,TCGA-A2-A0EX-01A,445.985,3.328
BRCA,TCGA-E9-A1NA-01A,146.057,29.898
BRCA,TCGA-D8-A1XV-01A,49.79,10.047
BRCA,TCGA-A7-A5ZV-01A,78.098,52.083
BRCA,TCGA-A7-A425-01A,85.535,24.615
BRCA,TCGA-A2-A0CK-01A,170.118,14.42
BRCA,TCGA-BH-A0RX-01A,185.351,21.867
BRCA,TCGA-AO-A0JE-01A,117.105,18.66
BRCA,TCGA-E9-A2JT-01A,115.632,14.981
BRCA,TCGA-E9-A1R3-01A,150.069,0.587
BRCA,TCGA-BH-A0H9-01A,244.886,19.184
BRCA,TCGA-A8-A08R-01A,305.282,111.546
BRCA,TCGA-A2-A0YL-01A,259.324,17.85
BRCA,TCGA-PL-A8LX-01A,127.909,8.507
BRCA,TCGA-BH-A0DP-01A,167.121,9.336
BRCA,TCGA-EW-A1P7-01A,171.062,16.838
BRCA,TCGA-AO-A125-01A,149.065,7.331
BRCA,TCGA-E9-A22E-01A,160.299,9.938
BRCA,TCGA-AO-A03V-01A,311.079,10.816
BRCA,TCGA-A7-A5ZW-01A,205.325,3.368
BRCA,TCGA-E9-A22B-01A,177.655,11.39
BRCA,TCGA-A2-A0ET-01A,190.497,19.254
BRCA,TCGA-A2-A3Y0-01A,106.387,82.587
BRCA,TCGA-A7-A26E-01B,170.868,12.29
BRCA,TCGA-HN-A2OB-01A,157.031,3.29
BRCA,TCGA-AC-A2FE-01A,183.726,10.565
BRCA,TCGA-AR-A0TP-01A,156.53,61.274
BRCA,TCGA-A2-A0EP-01A,115.541,8.851
BRCA,TCGA-AR-A1AW-01A,257.123,22.462
BRCA,TCGA-A8-A076-01A,270.539,33.818
BRCA,TCGA-D8-A1XC-01A,65.3,10.909
BRCA,TCGA-EW-A1IW-01A,262.969,30.929
BRCA,TCGA-EW-A1P3-01A,140.711,17.987
BRCA,TCGA-AR-A24H-01A,164.674,79.783
BRCA,TCGA-E9-A1RH-01A,136.018,26.247
BRCA,TCGA-AO-A12F-01A,234.606,61.064
BRCA,TCGA-LL-A440-01A,130.184,8.04
BRCA,TCGA-AN-A0FY-01A,269.459,48.321
BRCA,TCGA-BH-A18K-01A,245.1,21.153
BRCA,TCGA-C8-A137-01A,329.506,39.137
BRCA,TCGA-AR-A2LR-01A,141.649,79.226
BRCA,TCGA-A7-A13G-01B,115.851,21.756
BRCA,TCGA-D8-A1JL-01A,464.433,143.669
BRCA,TCGA-B6-A0RO-01A,269.849,5.637
BRCA,TCGA-D8-A27E-01A,128.613,5.205
BRCA,TCGA-AR-A2LH-01A,177.9,14.773
BRCA,TCGA-BH-A18P-01A,211.505,40.347
BRCA,TCGA-A8-A07C-01A,169.217,134.446
BRCA,TCGA-AR-A24V-01A,235.716,5.842
BRCA,TCGA-BH-A0E0-01A,352.497,39.956
BRCA,TCGA-E2-A1LK-01A,284.794,18.854
BRCA,TCGA-A7-A13G-01A,43.791,0.997
BRCA,TCGA-E2-A15R-01A,192.399,40.708
BRCA,TCGA-BH-A0HX-01A,246.766,23.915
BRCA,TCGA-E9-A1R0-01A,189.781,17.222
BRCA,TCGA-C8-A1HL-01A,251.422,41.749
BRCA,TCGA-E2-A152-01A,271.109,24.714
BRCA,TCGA-EW-A1PC-01B,276.883,84.756
BRCA,TCGA-A8-A06Y-01A,114.268,10.208
BRCA,TCGA-A8-A06P-01A,208.184,7.496
BRCA,TCGA-A2-A04X-01A,229.469,29.509
BRCA,TCGA-OL-A66I-01A,110.512,47.242
BRCA,TCGA-B6-A401-01A,250.223,8.369
BRCA,TCGA-AN-A0XW-01A,203.071,39.35
BRCA,TCGA-B6-A0WY-01A,228.781,13.657
BRCA,TCGA-E2-A14Z-01A,274.045,12.296
BRCA,TCGA-A7-A3IZ-01A,92.328,36.469
BRCA,TCGA-E2-A1IH-01A,223.628,15.313
BRCA,TCGA-AR-A2LO-01A,166.635,26.973
BRCA,TCGA-E2-A14U-01A,135.176,2.664
BRCA,TCGA-A8-A07P-01A,241.187,14.606
BRCA,TCGA-A8-A07G-01A,208.302,8.076
BRCA,TCGA-A7-A13F-01A,172.495,77.462
BRCA,TCGA-AR-A24X-01A,192.386,14.356
BRCA,TCGA-A2-A0EY-01A,176.959,23.633
BRCA,TCGA-EW-A1P8-01A,282.246,210.1
BRCA,TCGA-BH-A18V-01A,177.276,211.971
BRCA,TCGA-B6-A0I8-01A,86.138,16.146
BRCA,TCGA-BH-A0B2-01A,353.976,8.983
BRCA,TCGA-C8-A1HO-01A,355.949,37.31
BRCA,TCGA-EW-A1P6-01A,618.942,15.341
BRCA,TCGA-A8-A07R-01A,881.101,81.068
BRCA,TCGA-BH-A0EB-01A,130.395,9.414
BRCA,TCGA-D8-A1J9-01A,153.992,22.658
BRCA,TCGA-A2-A04R-01A,143.085,35.119
BRCA,TCGA-D8-A143-01A,330.752,147.588
BRCA,TCGA-A7-A2KD-01A,136.482,26.516
BRCA,TCGA-AC-A3OD-01B,88.275,7.564
BRCA,TCGA-GM-A2DB-01A,331.973,18.276
BRCA,TCGA-A2-A04Q-01A,220.746,44.739
BRCA,TCGA-E2-A15C-01A,316.815,7.785
BRCA,TCGA-AN-A0FT-01A,129.62,5.008
BRCA,TCGA-B6-A0IK-01A,283.59,30.288
BRCA,TCGA-D8-A1XD-01A,300.734,24.512
BRCA,TCGA-AR-A1AK-01A,127.075,32.992
BRCA,TCGA-D8-A1XM-01A,260.806,11.549
BRCA,TCGA-E9-A1R4-01A,239.736,10.588
BRCA,TCGA-E2-A1IJ-01A,92.003,6.832
BRCA,TCGA-D8-A13Z-01A,288.464,74.745
BRCA,TCGA-AC-A23G-01A,113.617,9.192
BRCA,TCGA-A2-A04Y-01A,323.276,18.205
BRCA,TCGA-A1-A0SD-01A,166.891,13.784
BRCA,TCGA-AO-A1KP-01A,240.478,22.897
BRCA,TCGA-AC-A4ZE-01A,134.302,27.93
BRCA,TCGA-A8-A0A2-01A,352.847,12.856
BRCA,TCGA-PE-A5DE-01A,126.367,17.094
BRCA,TCGA-GM-A2DC-01A,169.722,1.868
BRCA,TCGA-AC-A3QQ-01A,97.195,6.548
BRCA,TCGA-A2-A0CW-01A,215.51,67.085
BRCA,TCGA-AN-A0FJ-01A,293.226,76.89
BRCA,TCGA-A7-A26F-01A,65.987,4.047
BRCA,TCGA-D8-A1JG-01B,106.583,34.946
BRCA,TCGA-LL-A6FP-01A,101.899,2.619
BRCA,TCGA-E2-A15T-01A,196.58,35.561
