,ID,adj.P.Val,P.Value,logFC,Gene.symbol
1050,ILMN_1751444,4.61E-06,9.92E-08,-1.7268302,PRF1
1057,ILMN_1711005,4.70E-06,1.02E-07,-1.5982178,PNPLA6
1062,ILMN_1724017,4.80E-06,1.04E-07,-1.387679,ASB9
1064,ILMN_1656920,4.89E-06,1.07E-07,2.9216327,EPCAM
1085,ILMN_2390974,5.42E-06,1.20E-07,1.4660278,ABCC5
1094,ILMN_1731184,5.53E-06,1.24E-07,-1.3309565,CHEK1
1095,ILMN_1686097,5.56E-06,1.25E-07,-2.3842168,FOXM1
1111,ILMN_2070052,5.77E-06,1.31E-07,-1.4060571,DNTT
1114,ILMN_1662618,5.81E-06,1.33E-07,1.3131631,NCL
1122,ILMN_1759023,5.89E-06,1.35E-07,-1.3568822,HNRNPAB
1131,ILMN_1724148,6.00E-06,1.39E-07,1.1448459,ADGRL1
1132,ILMN_2235137,6.05E-06,1.41E-07,-1.1691232,NDC80
1141,ILMN_1703433,6.08E-06,1.42E-07,1.3822563,E2F5
1144,ILMN_1721344,6.13E-06,1.44E-07,1.3977097,STIL
1157,ILMN_1668460,6.33E-06,1.50E-07,-3.8622509,SLC2A10
1159,ILMN_1886493,6.34E-06,1.51E-07,-1.9272989,UPP1
1161,ILMN_1727692,6.34E-06,1.51E-07,-1.0285964,CENPU
1183,ILMN_2098126,6.60E-06,1.60E-07,2.7565247,YBEY
1184,ILMN_1686811,6.71E-06,1.63E-07,-1.1837869,SEPHS1
1185,ILMN_1720526,6.72E-06,1.63E-07,-1.4169715,TAGLN2
1196,ILMN_1733615,6.88E-06,1.69E-07,-1.0268062,ABHD8
1203,ILMN_1694213,6.91E-06,1.70E-07,1.0625126,HJURP
1204,ILMN_1773200,6.91E-06,1.71E-07,-1.3363818,ITGA2B
1213,ILMN_2348788,7.14E-06,1.78E-07,1.3814124,SPC24
1215,ILMN_2143155,7.14E-06,1.78E-07,-1.9001204,CEP83
1218,ILMN_1676986,7.18E-06,1.79E-07,-1.1754076,GAS7
1237,ILMN_1711566,7.55E-06,1.91E-07,2.2466208,ZNF83
1236,ILMN_2103685,7.55E-06,1.91E-07,-1.3292923,ENOSF1
1245,ILMN_1787648,7.84E-06,2.00E-07,-1.2893402,ZNF467
1250,ILMN_1798288,7.97E-06,2.04E-07,1.2383582,RHOG
1252,ILMN_1737195,7.98E-06,2.05E-07,-1.6803131,CFAP20
1258,ILMN_1652754,8.01E-06,2.06E-07,1.2413576,ACTA2
1254,ILMN_1782938,8.01E-06,2.06E-07,-1.1057744,HLTF
1259,ILMN_1721876,8.07E-06,2.08E-07,1.4854957,PIK3IP1
1261,ILMN_1708375,8.09E-06,2.09E-07,1.2018189,NFS1
1262,ILMN_1856634,8.09E-06,2.09E-07,-1.0085936,PLOD3
1272,ILMN_1767260,8.24E-06,2.15E-07,-1.0750547,CEP55
1289,ILMN_1729217,8.78E-06,2.32E-07,1.0518957,CYYR1
1285,ILMN_1662878,8.78E-06,2.32E-07,-1.5821405,CEP152
1297,ILMN_2060413,9.04E-06,2.40E-07,-3.234258,TMEM150A
1300,ILMN_1735093,9.10E-06,2.42E-07,-1.4868134,BUB1
1310,ILMN_2290998,9.27E-06,2.49E-07,1.5776912,PCNA
1318,ILMN_2042771,9.42E-06,2.54E-07,-1.4338614,NAAA
1328,ILMN_2415439,9.51E-06,2.59E-07,-1.1082137,EPHB4
1329,ILMN_1738675,9.54E-06,2.60E-07,1.5667363,MAP2K3
1339,ILMN_2285996,9.76E-06,2.68E-07,-2.0921541,HIST2H2BE
1340,ILMN_1768973,9.81E-06,2.70E-07,2.4203883,SQRDL
1351,ILMN_1717765,1.02E-05,2.83E-07,-1.1839547,QSOX1
1353,ILMN_1746784,1.03E-05,2.86E-07,-1.8578223,VCAM1
1367,ILMN_2044832,1.05E-05,2.94E-07,-1.0054217,TRIB2
1372,ILMN_1653708,1.07E-05,3.00E-07,1.1686445,TSPAN31
1375,ILMN_1801257,1.07E-05,3.03E-07,-1.2755527,IL27RA
1387,ILMN_1753063,1.10E-05,3.13E-07,-1.8518066,DIAPH1
1390,ILMN_1784860,1.11E-05,3.17E-07,-1.0699016,BCL11A
1393,ILMN_1727055,1.12E-05,3.20E-07,-1.2225172,TRO
1394,ILMN_2072296,1.12E-05,3.21E-07,-1.1886689,PKIA
1399,ILMN_1794539,1.13E-05,3.25E-07,-1.5684021,UBE2T
1404,ILMN_1713749,1.13E-05,3.27E-07,1.6708878,TICAM1
1415,ILMN_1652407,1.16E-05,3.37E-07,-1.1093199,TCERG1
1418,ILMN_1711270,1.16E-05,3.38E-07,-1.0233089,DNAJC9
1427,ILMN_2370365,1.18E-05,3.44E-07,-1.3019907,SF1
1434,ILMN_1654313,1.19E-05,3.49E-07,-1.0482958,CHD9
1446,ILMN_1788166,1.21E-05,3.59E-07,-1.6746897,AFF3
1448,ILMN_1814213,1.22E-05,3.63E-07,1.1951342,MKL1
1454,ILMN_1762764,1.23E-05,3.67E-07,-1.4394949,NASP
1472,ILMN_1780057,1.26E-05,3.80E-07,1.4973836,LIG1
1474,ILMN_2172318,1.26E-05,3.81E-07,-1.0357443,RBM25
1480,ILMN_1769665,1.28E-05,3.88E-07,1.1627716,SIDT2
1481,ILMN_1800958,1.28E-05,3.89E-07,-1.2151581,NEU1
1482,ILMN_1740633,1.28E-05,3.90E-07,1.4182077,SLC8A3
1487,ILMN_1799614,1.31E-05,3.99E-07,1.0459221,MPP6
1489,ILMN_1679450,1.31E-05,4.01E-07,-1.4275094,SPATA2L
1496,ILMN_1786041,1.35E-05,4.13E-07,-1.6949884,CDKN1A
1507,ILMN_2160210,1.37E-05,4.25E-07,-3.250843,GZMA
1508,ILMN_1651964,1.37E-05,4.25E-07,-1.2939728,TOP2B
1510,ILMN_1664630,1.38E-05,4.26E-07,-1.6028001,DPEP2
1544,ILMN_1721457,1.45E-05,4.59E-07,-1.1092695,PKMYT1
1547,ILMN_2344971,1.47E-05,4.66E-07,-1.223566,FAM214B
1551,ILMN_1783156,1.47E-05,4.67E-07,1.1745467,FHL3
1557,ILMN_2384001,1.50E-05,4.79E-07,-5.1168466,SNORA33
1573,ILMN_2121437,1.56E-05,5.02E-07,-1.0866622,NPIPB3
1578,ILMN_1696485,1.57E-05,5.09E-07,-1.1643536,STAT6
1584,ILMN_1813175,1.59E-05,5.18E-07,-1.2554944,RFC5
1589,ILMN_1664511,1.61E-05,5.25E-07,-1.2661015,AURKB
1590,ILMN_1811117,1.62E-05,5.28E-07,-1.5720896,HNRNPA1P10
1594,ILMN_1782551,1.63E-05,5.31E-07,-1.2252644,SPTA1
1596,ILMN_2413650,1.63E-05,5.34E-07,-1.5343438,PSIP1
1602,ILMN_2120247,1.65E-05,5.41E-07,-1.0723093,SREK1
1608,ILMN_1798256,1.65E-05,5.45E-07,2.891382,FANCG
1607,ILMN_1679438,1.65E-05,5.45E-07,-1.2649244,CD8A
1609,ILMN_1724052,1.66E-05,5.48E-07,-1.4337252,RCC1
1610,ILMN_1808251,1.66E-05,5.48E-07,-1.0502925,CD247
1611,ILMN_1656297,1.66E-05,5.49E-07,1.0111848,CNRIP1
1614,ILMN_2176768,1.66E-05,5.50E-07,-1.1460854,VWDE
1616,ILMN_1691892,1.66E-05,5.51E-07,1.6974311,UHRF1
1621,ILMN_1712707,1.68E-05,5.59E-07,1.1184861,ZNF524
1638,ILMN_1703906,1.77E-05,5.93E-07,-1.0903863,PPM1M
1649,ILMN_1721888,1.80E-05,6.09E-07,-1.8139797,LUC7L3
1650,ILMN_2219712,1.80E-05,6.10E-07,-1.2625478,FANCL
1657,ILMN_2181432,1.82E-05,6.17E-07,-1.0500482,FANCI
1670,ILMN_1799113,1.87E-05,6.39E-07,-1.0455131,TRIM33
1675,ILMN_1745994,1.88E-05,6.46E-07,1.8866335,CMTM3
1686,ILMN_1773388,1.92E-05,6.64E-07,-1.3589584,CTSA
1690,ILMN_2190414,1.93E-05,6.70E-07,-1.1743778,ZRANB2
1694,ILMN_1803676,1.96E-05,6.81E-07,-1.4032094,ZNF135
1697,ILMN_1779015,1.97E-05,6.86E-07,2.3233331,PRELID3A
1700,ILMN_2090105,1.97E-05,6.88E-07,1.5003351,SLC43A2
1704,ILMN_1739792,1.98E-05,6.92E-07,1.2824464,RBBP8
1717,ILMN_2112599,2.02E-05,7.12E-07,-1.0832595,CKAP2
1722,ILMN_1671703,2.03E-05,7.17E-07,1.803778,SMC2
1743,ILMN_1673820,2.12E-05,7.56E-07,-1.4288848,PRPF4B
1758,ILMN_1719986,2.16E-05,7.78E-07,1.8119214,MAD2L1
1764,ILMN_1761314,2.19E-05,7.92E-07,1.7583626,PROS1
1769,ILMN_1774836,2.20E-05,7.98E-07,1.089101,GGCT
1780,ILMN_1747016,2.22E-05,8.11E-07,-1.1716698,GLIPR2
1788,ILMN_1690586,2.26E-05,8.27E-07,-1.1732151,NKTR
1791,ILMN_1812902,2.26E-05,8.31E-07,-1.2768738,HIST1H2BK
1794,ILMN_1784005,2.28E-05,8.37E-07,1.3269025,HNRNPA1
1797,ILMN_2199676,2.28E-05,8.41E-07,-1.0496686,AMHR2
1801,ILMN_1756326,2.29E-05,8.46E-07,-1.2193698,MYD88
1821,ILMN_2299612,2.38E-05,8.89E-07,1.1451741,SIPA1
1827,ILMN_2202948,2.40E-05,8.97E-07,-1.4708325,BCLAF1
1836,ILMN_1694177,2.42E-05,9.11E-07,-1.3271098,RFESD
1853,ILMN_2285568,2.51E-05,9.54E-07,1.1318909,ZYX
1863,ILMN_2214910,2.58E-05,9.84E-07,-1.2976714,CKS1B
1874,ILMN_1790534,2.61E-05,1.00E-06,1.1384486,DPPA4
1879,ILMN_1732071,2.62E-05,1.01E-06,2.2461341,SRPK1
1905,ILMN_1708709,2.73E-05,1.07E-06,-1.4426166,CDC20
1911,ILMN_1667199,2.76E-05,1.08E-06,1.3320839,SERPINB10
1917,ILMN_2411282,2.78E-05,1.09E-06,1.0691206,METAP2
1929,ILMN_1805519,2.83E-05,1.12E-06,-1.02826,KIF2C
1943,ILMN_1726153,2.90E-05,1.15E-06,-1.1869307,OIP5
1949,ILMN_1778543,2.91E-05,1.16E-06,-1.2619346,PAG1
1951,ILMN_2307903,2.94E-05,1.18E-06,-2.3950828,CCNA1
1964,ILMN_1714700,3.01E-05,1.21E-06,-1.5254323,ZNF33B
1971,ILMN_1725079,3.08E-05,1.24E-06,1.0006975,SLCO3A1
1985,ILMN_1688152,3.16E-05,1.29E-06,1.3455945,TKT
1998,ILMN_1661554,3.20E-05,1.31E-06,1.0539703,THOC1
1996,ILMN_1669657,3.19E-05,1.31E-06,-1.8354289,CTSZ
2002,ILMN_2255133,3.20E-05,1.31E-06,-1.9081073,TNFRSF10B
2004,ILMN_2324056,3.20E-05,1.32E-06,-1.1539793,CEP95
2010,ILMN_1655961,3.23E-05,1.33E-06,-1.2977712,CFP
2019,ILMN_2409642,3.25E-05,1.34E-06,-1.5580087,OSBPL1A
2021,ILMN_2337974,3.26E-05,1.35E-06,-1.7324804,CLEC2D
2034,ILMN_1711470,3.31E-05,1.38E-06,-1.397183,TFRC
2040,ILMN_1724863,3.34E-05,1.40E-06,1.3588121,TCTEX1D2
2061,ILMN_2398039,3.45E-05,1.46E-06,-1.0367649,IFI35
2062,ILMN_1799516,3.46E-05,1.46E-06,-1.2001266,LCN6
2064,ILMN_1776077,3.46E-05,1.47E-06,-1.8033664,FAM72B
2068,ILMN_1762972,3.47E-05,1.47E-06,-1.2775175,FAM213A
2078,ILMN_1775235,3.54E-05,1.51E-06,-1.6094449,DEDD2
2086,ILMN_1651767,3.55E-05,1.52E-06,1.015323,EFHD2
2088,ILMN_2348975,3.55E-05,1.52E-06,-1.3068056,C17orf53
2091,ILMN_1706779,3.56E-05,1.52E-06,-1.0547387,RAB29
2094,ILMN_1768117,3.56E-05,1.53E-06,-1.2156008,TUSC1
2097,ILMN_1791912,3.57E-05,1.54E-06,1.2455362,PNN
2105,ILMN_1763144,3.60E-05,1.55E-06,1.0293105,ALDH7A1
2110,ILMN_1712023,3.62E-05,1.56E-06,-1.2593518,PLAUR
2141,ILMN_1679995,3.76E-05,1.65E-06,-1.384263,C10orf54
2145,ILMN_1691111,3.78E-05,1.66E-06,1.1128412,ACTL6A
2155,ILMN_1784602,3.86E-05,1.71E-06,2.2845768,TCF3
2163,ILMN_1779324,3.89E-05,1.72E-06,1.695551,ARHGEF3
2164,ILMN_1777663,3.89E-05,1.72E-06,-1.3513438,ATP6V1B2
2173,ILMN_1689160,3.90E-05,1.73E-06,1.6259598,CD3D
2168,ILMN_1766658,3.89E-05,1.73E-06,-1.2133893,HCK
2180,ILMN_1732609,3.96E-05,1.77E-06,1.1222987,ITGAX
2182,ILMN_1703558,3.96E-05,1.77E-06,1.0136269,LGMN
2185,ILMN_2096747,3.96E-05,1.77E-06,-1.1345824,ARHGAP33
2190,ILMN_1773352,3.97E-05,1.78E-06,2.490293,GRB2
2198,ILMN_1657547,4.00E-05,1.80E-06,-1.7901923,C2CD5
2215,ILMN_1656868,4.09E-05,1.85E-06,-1.2422963,FES
2216,ILMN_1746515,4.09E-05,1.86E-06,-5.1073238,KLHL3
2237,ILMN_1807136,4.21E-05,1.93E-06,-1.0912016,SH3BGRL3
2241,ILMN_1763198,4.23E-05,1.94E-06,1.0141909,PHYKPL
2250,ILMN_1659364,4.31E-05,1.99E-06,-1.1203665,FKBP14
2251,ILMN_1684217,4.31E-05,1.99E-06,-1.5927689,KIF20A
2252,ILMN_2220283,4.31E-05,1.99E-06,-1.2222507,37316
2257,ILMN_1717935,4.38E-05,2.03E-06,-2.15503,IL2RB
2259,ILMN_1788701,4.40E-05,2.04E-06,-1.5100966,EVI2B
2282,ILMN_2391512,4.54E-05,2.12E-06,1.2427826,RNH1
2287,ILMN_2373266,4.57E-05,2.14E-06,-1.2195369,JUNB
2289,ILMN_1758728,4.61E-05,2.16E-06,-1.3753211,ERP29
2307,ILMN_2353732,4.70E-05,2.22E-06,1.7130485,DNAJB14
2314,ILMN_1726720,4.73E-05,2.24E-06,-1.971953,TRAF3IP3
2318,ILMN_1707493,4.74E-05,2.25E-06,1.1461651,BEX1
2340,ILMN_1676924,4.85E-05,2.33E-06,2.0695258,PRMT3
2345,ILMN_2182148,4.89E-05,2.35E-06,-1.6922394,WDR12
2347,ILMN_1699275,4.89E-05,2.35E-06,-1.044342,CCNA2
2353,ILMN_1786065,4.92E-05,2.37E-06,-2.7384552,PIM1
2371,ILMN_1810147,5.05E-05,2.45E-06,1.0468505,DENND6B
2369,ILMN_2330994,5.05E-05,2.45E-06,-1.3962939,KLF2
2385,ILMN_1657810,5.14E-05,2.51E-06,1.6125231,CTNNAL1
2395,ILMN_1728180,5.18E-05,2.55E-06,-1.294334,TMSB15B
2397,ILMN_1754045,5.18E-05,2.55E-06,-1.2864974,OCEL1
2401,ILMN_1655642,5.20E-05,2.56E-06,-1.0180763,NUCKS1
2406,ILMN_1682316,5.26E-05,2.60E-06,-1.3058206,GGH
2412,ILMN_1881526,5.30E-05,2.62E-06,-1.6726345,CHST7
2413,ILMN_1705442,5.31E-05,2.63E-06,1.1416256,GABARAPL1
2442,ILMN_1719286,5.46E-05,2.74E-06,1.4843376,HMGB1
2451,ILMN_1703015,5.54E-05,2.78E-06,-1.3420266,EMP3
2457,ILMN_1689665,5.56E-05,2.80E-06,-1.0097179,BEX3
2467,ILMN_1726368,5.64E-05,2.85E-06,-1.3076742,ALDH3B1
2469,ILMN_2377669,5.66E-05,2.86E-06,2.0502423,CDK4
2474,ILMN_2232157,5.67E-05,2.88E-06,-1.0237747,FRMD6
2481,ILMN_1787127,5.69E-05,2.89E-06,1.8159303,TOPBP1
2488,ILMN_2363621,5.76E-05,2.94E-06,-1.0584099,SLC4A7
2506,ILMN_2373728,5.90E-05,3.03E-06,-1.1272598,CEACAM6
2513,ILMN_2181060,5.98E-05,3.08E-06,-1.0077667,UAP1L1
2521,ILMN_1795856,6.04E-05,3.12E-06,-1.005722,PRIM1
2526,ILMN_2411190,6.10E-05,3.16E-06,-1.3657478,RASSF7
2527,ILMN_1736021,6.11E-05,3.16E-06,-1.3480126,HIST1H2BD
2531,ILMN_1777564,6.13E-05,3.18E-06,-1.6146075,TYMSOS
2541,ILMN_1671928,6.20E-05,3.23E-06,-1.0972065,GINS3
2544,ILMN_2401352,6.23E-05,3.25E-06,-1.1701568,PLOD1
2587,ILMN_2101526,6.62E-05,3.51E-06,-1.075383,ILF3
2592,ILMN_1652631,6.65E-05,3.53E-06,1.8048548,CDKN2D
2591,ILMN_1721621,6.65E-05,3.53E-06,-1.6254622,PUM3
2600,ILMN_1796179,6.72E-05,3.58E-06,1.3830514,CDH2
2604,ILMN_1663447,6.73E-05,3.59E-06,-1.1277808,MCM10
2607,ILMN_2344373,6.75E-05,3.61E-06,1.4887136,LFNG
2608,ILMN_1736412,6.75E-05,3.61E-06,-1.0777247,GPSM3
2610,ILMN_1738523,6.77E-05,3.62E-06,1.2133039,IL12RB1
2625,ILMN_1682930,6.94E-05,3.73E-06,1.1454242,DNASE2
2626,ILMN_1775192,6.96E-05,3.75E-06,-1.2425474,CENPM
2629,ILMN_1796490,6.97E-05,3.76E-06,1.4188978,GOLGA8B
2669,ILMN_1802162,7.41E-05,4.05E-06,-1.5073092,TPM2
2695,ILMN_2371169,7.56E-05,4.18E-06,1.3711484,GNG7
2700,ILMN_2041046,7.58E-05,4.20E-06,-1.1321337,CKAP5
2709,ILMN_2396991,7.66E-05,4.26E-06,1.5089857,DPY19L2
2720,ILMN_1768721,7.76E-05,4.33E-06,-2.5696004,SLC16A3
2721,ILMN_1798804,7.76E-05,4.33E-06,-1.0483386,TBXAS1
2730,ILMN_1663390,7.80E-05,4.36E-06,-2.1075929,MYO1F
2736,ILMN_2147424,7.85E-05,4.40E-06,-1.7441753,RRM2
2749,ILMN_2399140,7.98E-05,4.50E-06,1.1594348,CDC45
2754,ILMN_1670420,8.01E-05,4.52E-06,-1.0501298,CDCA8
2762,ILMN_1685916,8.11E-05,4.59E-06,-1.033361,ANKRD33
2778,ILMN_1884750,8.24E-05,4.69E-06,-1.1573194,ANKRD20A1
2782,ILMN_2196984,8.25E-05,4.70E-06,-1.5825776,PUS7
2794,ILMN_2055156,8.36E-05,4.79E-06,-1.3653709,ADGRG6
2796,ILMN_2157099,8.40E-05,4.82E-06,3.0481643,AHNAK
2803,ILMN_1742935,8.46E-05,4.86E-06,-1.0001412,DPP7
2813,ILMN_1659753,8.58E-05,4.95E-06,1.0028723,ITGAM
2815,ILMN_1706261,8.59E-05,4.95E-06,1.2068518,GBP2
2834,ILMN_1736597,8.78E-05,5.10E-06,1.0140896,TP53INP1
2837,ILMN_1802157,8.84E-05,5.14E-06,-1.0636385,REC8
2840,ILMN_1666269,8.87E-05,5.16E-06,1.8202458,FBXO6
2845,ILMN_1699265,8.91E-05,5.20E-06,1.1835871,TSEN2
2861,ILMN_2299072,9.03E-05,5.30E-06,-1.2756796,NMNAT3
2872,ILMN_1686135,9.09E-05,5.35E-06,-1.0202049,SNORD31
2885,ILMN_1658121,9.27E-05,5.48E-06,2.1463972,GNLY
2905,ILMN_2405602,9.49E-05,5.65E-06,-1.6321335,CD68
2916,ILMN_1748374,9.65E-05,5.77E-06,-1.7838999,FAM89B
2919,ILMN_1711702,9.68E-05,5.79E-06,-1.1083184,RRAS
2920,ILMN_1674243,9.68E-05,5.79E-06,-1.7438487,SLC2A3
2921,ILMN_1700955,9.71E-05,5.81E-06,-1.1311261,ARHGAP32
2929,ILMN_1745374,9.76E-05,5.86E-06,1.1525014,PACSIN1
2937,ILMN_2295518,9.92E-05,5.97E-06,-1.6107326,HADH
2954,ILMN_1792800,1.00E-04,6.08E-06,-1.2014326,ATP6V0D1
2957,ILMN_1701882,0.000101,6.12E-06,-1.2079121,MS4A3
2971,ILMN_1754538,0.000102,6.19E-06,-1.4062064,DEK
2996,ILMN_1768031,0.000104,6.41E-06,1.0184541,PLP2
3001,ILMN_1761463,0.000105,6.46E-06,1.1074349,FEN1
3015,ILMN_1776490,0.000107,6.61E-06,-1.2461974,KLRB1
3023,ILMN_1813685,0.000107,6.63E-06,1.4011485,SPI1
3064,ILMN_1707350,0.000111,6.98E-06,-1.0901272,PHIP
3081,ILMN_1721703,0.000113,7.14E-06,-1.3742828,ME3
3087,ILMN_1763461,0.000114,7.22E-06,-1.7020214,IL4R
3102,ILMN_1691508,0.000115,7.34E-06,1.2433123,ATAD2
3108,ILMN_2393765,0.000116,7.42E-06,-2.5894832,SDPR
3123,ILMN_2205963,0.000117,7.52E-06,2.5264444,MCM3
3132,ILMN_2374778,0.000118,7.59E-06,-1.1949254,SLAMF6
3141,ILMN_2328280,0.000119,7.68E-06,-1.2448396,MYO5C
3166,ILMN_1664434,0.000121,7.88E-06,-1.0698114,AHI1
3168,ILMN_1781010,0.000122,7.93E-06,1.1523733,CLCC1
3169,ILMN_1787705,0.000122,7.95E-06,1.1612363,CEBPB
3174,ILMN_2261416,0.000123,8.00E-06,2.3422289,UBTD1
